Scenario,lam,c,P0,Pwait,Lq,Wq,L,W,rho,stable
Off-peak,15,1,0.25,0.75,2.25,0.15,3.0,0.2,0.75,True
Off-peak,15,2,0.45454545454545453,0.20454545454545453,0.12272727272727271,0.00818181818181818,0.8727272727272727,0.05818181818181818,0.375,True
Off-peak,15,3,0.47058823529411764,0.044117647058823525,0.014705882352941175,0.0009803921568627449,0.7647058823529411,0.050980392156862744,0.25,True
Off-peak,15,4,0.47219069239500566,0.007661748013620886,0.0017680956954509738,0.00011787304636339826,0.751768095695451,0.0501178730463634,0.1875,True
Off-peak,15,5,0.4723503554566668,0.0010989309165897866,0.00019392898528055056,1.2928599018703371e-05,0.7501939289852806,0.05001292859901871,0.15,True
Off-peak,15,6,0.4723651867911722,0.0001334458012349503,1.9063685890707183e-05,1.2709123927138123e-06,0.7500190636858908,0.05000127091239272,0.125,True
Moderate,30,1,,,inf,inf,inf,inf,1.5,False
Moderate,30,2,0.14285714285714285,0.6428571428571428,1.9285714285714284,0.06428571428571428,3.4285714285714284,0.11428571428571428,0.75,True
Moderate,30,3,0.21052631578947367,0.23684210526315788,0.23684210526315788,0.007894736842105263,1.736842105263158,0.05789473684210526,0.5,True
Moderate,30,4,0.22099447513812154,0.07458563535911603,0.044751381215469614,0.0014917127071823204,1.5447513812154696,0.05149171270718232,0.375,True
Moderate,30,5,0.2227747389358528,0.020139234211834906,0.008631100376500674,0.0002877033458833558,1.5086311003765007,0.05028770334588336,0.3,True
Moderate,30,6,0.22307424189613104,0.004705472289996514,0.0015684907633321714,5.228302544440571e-05,1.5015684907633322,0.050052283025444406,0.25,True
Peak,45,1,,,inf,inf,inf,inf,2.25,False
Peak,45,2,,,inf,inf,inf,inf,1.125,False
Peak,45,3,0.07476635514018691,0.5677570093457943,1.703271028037383,0.03785046728971962,3.953271028037383,0.08785046728971962,0.75,True
Peak,45,4,0.09880899867666519,0.24117776797529775,0.3100857016825257,0.006890793370722793,2.560085701682526,0.056890793370722795,0.5625,True
Peak,45,5,0.10393636850167014,0.09081052651004852,0.07429952169003969,0.0016511004820008819,2.3242995216900395,0.05165110048200088,0.45,True
Peak,45,6,0.10508146892400269,0.030297635051237476,0.018178581030742484,0.000403968467349833,2.2681785810307424,0.05040396846734983,0.375,True
